COLD first call: 83.7ms  files=10  repo=pylint-dev__pylint  q='regexp_csv|bad.name.rgxs|_regexp_csv_transfomer|regex.*csv'
         120192 function calls (119647 primitive calls) in 0.084 seconds

   Ordered by: cumulative time
   List reduced from 835 to 28 due to restriction <28>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    33/25    0.000    0.000    0.081    0.003 /home/pankaj/.local/share/uv/python/cpython-3.13.3-linux-x86_64-gnu/lib/python3.13/threading.py:327(wait)
       12    0.000    0.000    0.081    0.007 /home/pankaj/.local/share/uv/python/cpython-3.13.3-linux-x86_64-gnu/lib/python3.13/concurrent/futures/_base.py:428(result)
      2/1    0.000    0.000    0.058    0.058 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/engine.py:3649(tool_explore)
        1    0.000    0.000    0.057    0.057 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/engine.py:4341(_tool_explore_impl)
    53/17    0.014    0.000    0.048    0.003 {method 'execute' of 'sqlite3.Connection' objects}
        1    0.000    0.000    0.043    0.043 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/engine.py:5849(search_symbols)
        1    0.000    0.000    0.043    0.043 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/intel_store.py:125(search_symbols)
        1    0.000    0.000    0.043    0.043 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/engine.py:6089(_search_symbols_local)
        1    0.006    0.006    0.026    0.026 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/engine.py:4040(_hef_line_fts_candidates)
        1    0.000    0.000    0.017    0.017 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/engine.py:9700(_symbol_centrality_map)
        1    0.002    0.002    0.017    0.017 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/engine.py:9743(_load_centrality_map)
    17/15    0.010    0.001    0.017    0.001 {method 'fetchall' of 'sqlite3.Cursor' objects}
      600    0.003    0.000    0.014    0.000 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/generated_files.py:57(is_generated_path)
     13/2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     28/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.009    0.009 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/engine.py:10559(_pack_single_payload)
        1    0.000    0.000    0.009    0.009 /home/pankaj/Projects/leanchain/atelier/src/atelier/infra/code_intel/zoekt/indexer.py:64(ensure_snapshot)
        1    0.000    0.000    0.009    0.009 /home/pankaj/Projects/leanchain/atelier/src/atelier/infra/code_intel/zoekt/indexer.py:108(_load_snapshot_from_disk)
        1    0.000    0.000    0.009    0.009 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/engine.py:10362(_fit_items_to_budget)
     11/2    0.000    0.000    0.009    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
        7    0.000    0.000    0.009    0.001 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/engine.py:6202(consider_rows)
      4/3    0.000    0.000    0.009    0.003 {built-in method builtins.__import__}
      9/2    0.000    0.000    0.009    0.004 <frozen importlib._bootstrap_external>:1020(exec_module)
     15/2    0.002    0.000    0.009    0.004 {built-in method builtins.exec}
        2    0.000    0.000    0.008    0.004 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/budget.py:40(pack)
        6    0.000    0.000    0.008    0.001 /home/pankaj/Projects/leanchain/atelier/src/atelier/core/capabilities/code_context/budget.py:31(_token_count)
        5    0.000    0.000    0.008    0.002 /home/pankaj/.local/share/uv/python/cpython-3.13.3-linux-x86_64-gnu/lib/python3.13/pathlib/_local.py:539(read_text)
        5    0.000    0.000    0.008    0.002 /home/pankaj/.local/share/uv/python/cpython-3.13.3-linux-x86_64-gnu/lib/python3.13/pathlib/_abc.py:628(read_text)



WARM second call: 22.3ms
EXIT=0
